id,name,county,city,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday,comments,brew_type,website,x,y
29,Urban Growler Brewing Co.,RAM,Saint Paul,2325 Endicott St,,11am-10pm,11am-10pm,11am-10pm,11am-11pm,11am-11pm,11am-8pm,,Brewery,http://www.urbangrowlerbrewing.com/,-93.19289447199998,44.97008309300003
30,Lake Monster Brewing,RAM,Saint Paul,550 Vandalia St,4pm-10pm,4pm-10pm,4pm-10pm,4pm-10pm,2pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.lakemonsterbrewing.com/,-93.19091054499995,44.957685494000025
31,Dual Citizen Brewing,,SAINT PAUL,735 RAYMOND AVE,,,,,,,,,,,-93.19799848699995,44.96325504500004
32,Burning Brothers,RAM,Saint Paul,1750 W Thomas Ave,,,4pm-10pm,4pm-10pm,2pm-10pm,12pm-10pm,12pm-6pm,,Brewery,http://www.burnbrosbrew.com/,-93.17453892199995,44.95899820700002
33,Summit Brewing Co.,RAM,Saint Paul,910 Montreal Cir,,,,4pm-8pm,4pm-10pm,12pm-10pm,,"2014 - 132,870 barrels produced (2nd in MN)",Brewery,http://www.summitbrewing.com/,-93.13977174099995,44.91358918300005
34,Bad Weather Brewing,RAM,Saint Paul,414 7th St W,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,3pm-12am,12pm-12am,12pm-9pm,,Brewery,http://www.badweatherbrewery.com/,-93.11005112799995,44.93862839500008
35,Tin Whiskers Brewing,RAM,Saint Paul,125 E 9th St,,4pm-10pm,4pm-10pm,4pm-10pm,3pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://www.twbrewing.com/,-93.09350120299997,44.95084424000003
36,Wabasha Brewing Co.,RAM,Saint Paul,429 Wabasha St S,,4pm-10pm,3pm-10pm,3pm-11pm,3pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://www.wabashabrewing.com/,-93.08470120699997,44.93293607700008
37,Flat Earth Brewing Co.,RAM,Saint Paul,688 Minnehaha Ave E,,3:30pm-9:30pm,3:30pm-8pm,3:30pm-10pm,3:30pm-11pm,12pm-11pm,12pm-6:30pm,,Brewery,http://www.flatearthbrewing.com/,-93.07182868799997,44.96229682400007
38,BlackStack Brewing Co.,RAM,Saint Paul,755 Prior Ave N,4pm-11pm,4pm-11pm,4pm-11pm,4pm-11pm,12pm-12am,12pm-12am,12pm-10pm,,Brewery,http://www.blackstackbrewing.com/,-93.18247252099997,44.963793387000074
39,LowerTown Brewing Co.,,SAINT PAUL,282 6TH ST E,,,,,,,,,,http://www.lowertownbrewery.ca/,-93.08672645499995,44.95041162700005
40,Barrel Theory,RAM,Saint Paul,248 E 7th Street,,,3pm-10pm,3pm-10pm,3pm-10pm,12pm-10pm,12pm-8pm,,Brewery,https://barreltheory.com/,-93.08825375999999,44.95090043100003
41,Yoerg Brewing Co.,,SAINT PAUL,427 WABASHA ST S,,,,,,,,,Brewery,http://yoergbeer.com,-93.08457331099997,44.93318498600006
42,Waldmann Brewing,,SAINT PAUL,445 Smith Avenue,,11am - 10pm,11am - 10pm,11am - 10pm,11am - 12am,11am - 12am,11am - 9pm,,Brewery,http://waldmannbrewery.com,-93.10955653599996,44.93830234800003
43,Clutch Brewing,,SAINT PAUL,399 WEBSTER ST,,,,,,,,,Brewery,http://clutchbeer.com,-93.12458957499996,44.92874320600003
44,12welve Eyes Brewing Co.,RAM,Saint Paul,141 E 4th St,4pm-9pm,4pm-9pm,4pm-9pm,4pm-9pm,3pm-10pm,12pm-10pm,12pm-8pm,,Brewery,https://12welveeyes.com/,-93.08951669599998,44.947054244000064
45,Culhane Brewing Co.,,SAINT PAUL,201 4th St. E,,,,,,,,,Brewery,http://culhanebrewing.com/menu/,-93.08738066599994,44.94813038100004
46,Stacked Deck Brewing Co.,,SAINT PAUL,411 CEDAR ST,,,,,,,,,,http://www.stackeddeckbrewing.com/,-93.09466963299997,44.94727824400007
47,Alloy Brewing Co.,ANO,Coon Rapids,2700 Coon Rapids Blvd,,,4pm-10pm,4pm-10pm,4pm-11pm,12pm-11pm,12pm-8pm,,Brewery,https://www.alloybrewingcompany.com/,-93.33669429999999,45.16958652400006
48,Wayzata Brewing Co.,,WAYZATA,294 GROVE LN E,,,,,,,,,,http://www.wayzatabrewworks.com/,-93.51759074199998,44.96952539900006
49,Bald Man Brewing Co.,DAK,Eagan,2020 Silver Bell Rd,,3pm-11pm,3pm-11pm,3pm-11pm,11am-12am,11am-12am,11am-8pm,,Brewery,http://baldmanbrewing.com,-93.21089164499993,44.819624382000036
50,Spilled Grain Brewhouse,WRI,Annandale,300 Elm St E,,,,4pm-10pm,3pm-11pm,11am-11pm,12pm-6pm,,Brewery,http://www.spilledgrainbrewhouse.com/,-94.11844180899999,45.259513221000084
51,OMNI Brewing Co.,HPN,Maple Grove,9462 Deerwood Lane N,,3pm-10pm,3pm-10pm,3pm-10pm,12pm-11pm,12pm-11pm,12pm-10pm,,Brewery,https://www.omnibrewing.com/,-93.42541391099996,45.126449713000056
52,10K Brewing,ANO,Anoka,2005 2nd Ave,,,4pm-10pm,3pm-10pm,3pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://10kbrew.com/,-93.38954748099997,45.198265451000054
53,The Wicked Wort Brewing Co.,HPN,Robbinsdale,4165 W Broadway Ave,3pm-10pm,3pm-11pm,3pm-11pm,3pm-11pm,12pm-12:00am,12pm-12am,11:30am-9pm,,Brewery,http://www.wickedwortbrewingco.com/,-93.33915049099996,45.03091501400008
54,Steel Toe Brewing Co.,HPN,Saint Louis Park,4848 W 35th St,,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,12pm-10pm,12pm-6pm,,Brewery,http://www.steeltoebrewing.com/,-93.34126760299995,44.94143350100008
55,Maple Island Brewing Co.,WAS,Stillwater,225 Main St N,12pm-8pm,12pm-10pm,12pm-10pm,12pm-10pm,12pm-10pm,12pm-10pm,12pm-8pm,,Brewery,http://www.mapleislandbrewing.com/,-92.80658642099996,45.05816454700004
56,Badger Hill Brewing Co.,SCO,Shakopee,4571 Valley Industrial Blvd,,3pm-10pm,3pm-10pm,3pm-10pm,12pm-11pm,12pm-11pm,11:30am-10pm,,Brewery,http://www.badgerhillbrewing.com/,-93.46072117499995,44.79399181100006
57,Mankato Brewery,BLU,North Mankato,1119 Center St,,4pm-7pm,,4pm-7pm,4pm-7pm,12pm-7pm,10am-4pm,,Brewery,http://mankatobrewery.com/,-94.01407390899999,44.181480918000034
58,Montgomery Brewing Co.,LES,Montgomery,306 2nd St NW,,,3pm-8pm,3pm-8pm,3pm-8pm,1pm-8pm,11am-2pm,,Brewery,http://www.montgomerybrewing.com,-93.58282861699996,44.441277323000065
59,Oswald Brewing Co.,FAR,Blue Earth,110 S Main St,,,,3pm-7pm,3pm-10pm,1pm-10pm,1pm-5pm,,Brewery,https://www.oswaldbrewingcompany.com,-94.10260042199995,43.63822575900007
60,Angry Inch Brewing Co.,DAK,Lakeville,20730 Holyoke Ave,,,2pm-10pm,2pm-10pm,12pm-12am,12pm-12am,12pm-8pm,,Brewery,https://www.angryinchbrewing.com,-93.24301131699997,44.64760787900008
61,Blacklist Artisan Ales,STL,Duluth,120 E Superior St,3pm-12am,3pm-12am,3pm-12am,3pm-12am,11am-1am,11am-1am,11am-1am,2016 - 250 barrels produced,Brewery,https://blacklistbeer.com/,-92.09605749299999,46.78834544000006
62,Clockwerks Brewing Co.,HPN,Minneapolis,25 4th St N,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,3pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.clockwerksbrewing.com/,-93.27239277699994,44.980875791000074
63,Roets Jordan Brewing Co.,SCO,Jordan,415 South Broadway,,,,,3pm-10pm,3pm-10pm,12pm-6pm,,Brewery,http://roetsjordanbrewery.com,-93.62625989599997,44.66549976600003
64,Tanzenwald Brewing Co.,RIC,Northfield,103 Water St N,,3pm-10pm,3pm-10pm,3pm-10pm,11am-11pm,11am-11pm,11am-8pm,,Brewery,http://www.tanzenwald.com,-93.16208770899999,44.45964725700003
65,Tilion Brewing Co.,,CANNON FALLS,432 MILL ST W,,,,,,,,,Brewery,https://tilionbrewing.com,-92.90699473199999,44.508143308000044
66,Spiral Brewery,,HASTINGS,109 2ND ST E,,,,,,,,,Brewery,http://spiralbrewery.com,-92.851856469,44.744489041000065
67,Imminent Brewing Co.,RIC,Northfield,519 Division St S,,,,3pm-11pm,3pm-11pm,11am-11pm,11am-8pm,,Brewery,http://www.imminentbrewing.com,-93.15954669599995,44.45420936100004
68,Chapel Brewing Co.,,DUNDAS,15 CO RD 1,,,,,,,,,Brewery,http://chapelbrewing.com,-93.20389199999994,44.42969146200005
69,Half Pint Brewing Co.,,WASECA,40099 150TH ST,,,,,,,,,,https://www.facebook.com/Half-Pint-Brewing-Company-1428278567395030/,-93.46933422699999,44.14021307200005
70,Ward House Brewery,,WASECA,111 W ELM AVE,,,,,,,,,Brewery,https://www.facebook.com/pg/Ward-House-Brewery-2035594406669494/photos/?ref=page_internal,-93.50803441199997,44.07747355500002
71,Angry Hog Brewery,,AUSTIN,676-686 23RD AVE NW,,,,,,,,"coming soon, not open yet",Brewery,http://www.angryhogbrewery.com/about.html,-92.979878317,43.69157949100001
72,Giesenbru Bier Co.,,NEW PRAGUE,1302 1ST ST NE,,,,,,,,,Brewery,https://www.giesenbraubierco.com,-93.55877567499994,44.54389511800008
73,Island City Brewing Co.,WIN,Winona,65 E. Front St,,4pm-10pm,4pm-10pm,4pm-10pm,12pm-12am,12pm-12am,12pm-8pm,,Brewery,http://islandcitybrew.com,-91.63466131099995,44.053685401000045
74,Unmapped Brewing Co.,HPN,Minnetonka,14625 Excelsior Blvd,4pm-10pm,4pm-10pm,4pm-10pm,3pm-10pm,3pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://unmappedbrewing.com/,-93.46592187199995,44.903820101000065
75,Hamel Brewing Co.,,MEDINA,22 HAMEL RD,,,,,,,,,,http://www.hamelbrewingcompany.com/,-93.52264877699997,45.040475763000074
76,Wooden Hill Brewing Co.,,EDINA,7421 BUSH LAKE RD,,,,,,,,not open yet,Brewery,https://woodenhillbrewing.com,-93.35910840999998,44.86763901600005
77,Shakopee Brew Hall,,SHAKOPEE,126 1ST AVE E,,,3pm - 10pm,3pm - 10pm,3pm - 11pm,12pm - 11pm,12pm - 8pm,,Brewery,http://shakopeebrewhall.com,-93.52585090299999,44.79850707700007
78,Defender Brewing,,CHASKA,850 CHASKA BLVD,,,,,,,,,Brewery,https://www.facebook.com/DefenderBrewing/,-93.61161391099996,44.783830316000035
79,Boathouse Brothers Brewing Co,,PRIOR LAKE,16221 MAIN AVE SE,3pm - 10pm,3pm - 10pm,3pm - 10pm,3pm - 10pm,3pm - 10pm,11am - 10pm,11am - 7pm,,Brewery,http://www.boathousebrothersbrewing.com,-93.42400432199997,44.714155597000065
80,Cuyuna Brewing Co.,AIT,Crosby,1 Main St,,,,7pm-11pm,12pm-11pm,12pm-11pm,1pm-4pm,,Brewery,http://www.cuyunabrewing.com/,-93.95211282299994,46.48257435900006
81,Invictus Brewing,,MINNEAPOLIS,2033 105TH AVE NE,,,,,,,,,,http://invictusbrewingco.com/,-93.21942242799997,45.16097729100004
82,Blue Wolf Brewing Co.,,MINNEAPOLIS,8505 EDINBURGH CENTRE DR,,,,,,,,,,https://untappd.com/BlueWolfBrewingCo,-93.30619960499997,45.109293115000064
83,Cosmos Brewing,,HUGO,9686 140TH ST N,,,,,,,,,Brewery,http://cosmosbrewing.com/21.html,-92.91200374999994,45.15316340900006
84,Garphish Brewing,,BETHEL,165 MAIN ST,,,,,,,,,Brewery,https://www.facebook.com/garphishbrewing/,-93.26935397899996,45.404147438000045
85,Rustech Brewing Co.,,MONTICELLO,211 PINE ST,,,,,,,,expected to open in early 2018,Brewery,http://www.rustechbrewing.com,-93.79519699899998,45.30499964000006
86,Hoops Brewing Co.,,DULUTH,327 S LAKE AVE,,,,,,,,,,https://hoopsbrewing.com/,-92.09626942999996,46.78369247300003
87,Grainy Days Brewery and Supply,,DULUTH,1931 W SUPERIOR ST,,,,,,,,"This is not a brewery or brew pub, they sell home brewing supplies",,https://www.facebook.com/GrainyDays/,-92.12309223899996,46.76809372800005
88,Oakhold Farmhouse Brewery,,DULUTH,5623-5699 N CLOQUET RD,,,,,,,,,,http://www.oakholdbrewery.com/,-92.27895160099996,46.735494312000064
89,Rapids Brewing Co.,,GRAND RAPIDS,214 N POKEGAMA AVE,,,,,,,,,,http://www.gunflinttavern.com/,-93.52798039899994,47.23432484600004
90,Klockow Brewing Co.,,GRAND RAPIDS,36 SE 10TH ST,,,,,,,,,,https://klockowbrewing.com/,-93.52773819299993,47.22093104200007
91,Starry Eyed Brewing Co.,,LITTLE FALLS,16757 11TH ST NE,,,,,,,,,,https://www.starryeyedbrewing.com/home-1,-94.34556547599998,46.00349981700003
92,14 Lakes Brewing Co.,,CROSSLAKE,36846 CO RD 66,,,,,,,,,,https://www.ratebeer.com/brewers/14-lakes-craft-brewing-company/33000/,-94.11224985399997,46.68701791800003
93,Pantown Brewing Co.,,ST. CLOUD,408 37TH AVE N,,,,,,,,,,https://www.facebook.com/The-Pantown-Brewing-Company-1912021289018755/,-94.20222426699996,45.561702695000065
94,Three Twenty Brewing Co.,PIN,Pine City,135 5th St SE,,,,4pm-10pm,3pm-10pm,12pm-10pm,,,Brewery,http://www.threetwentybrewing.com/,-92.96943258099998,45.82803308800003
95,Revelation Ale Works,KIT,Hallock,146 S. Atlantic Ave,,,,,4pm-8pm,4pm-8pm,,,Brewery,http://www.revales.com,-96.94581351399995,48.773399274000035
96,Copper Trail Brewing Co.,DOU,Alexandria,"410 30th Ave East, #103",,,,3:30pm-10pm,3:30pm-10pm,12pm-10pm,12pm-4pm,,Brewery,http://coppertrailbrewing.com/,-95.37194040999998,45.864465900000035
97,Red Wing Brewery,GOO,Red Wing,1411 Old W Main St,,4pm-9pm,4pm-9pm,4pm-9pm,12pm-10pm,12pm-10pm,12pm-8pm,,Brewery,http://www.redwingbrewing.com,-92.54735653099999,44.562662356000025
98,Kinney Creek Brewery,OLM,Rochester,1016 7th St NW,12pm-6pm,12pm-6pm,12pm-8pm,12pm-12am,12pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.kinneycreekbrewery.com/,-92.47824418499994,44.03100529500006
99,LTS Brewing Co.,OLM,Rochester,2001 32nd Ave NW,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,11am-10pm,11am-10pm,,Brewery,http://www.ltsbrewing.com,-92.51029748599997,44.044706116000036
100,Karst Brewing Co.,FIL,Fountain,315 1st St,,,,,5pm-10pm,12pm-10pm,,opened Memorial Day weekend,Brewery,http://karstbrewed.com,-92.13505331499994,43.74004735800001
101,F-Town Brewing Co.,RIC,Faribault,22 4th St NE,,,3pm-9pm,3pm-9pm,3pm-10pm,12pm-10pm,12pm-3pm,,Brewery,http://www.ftownbeer.com/ftown/,-93.26735406999995,44.29499072400005
102,Bent Brewstillery,RAM,Roseville,1744 Terrace Dr,,4pm-10pm,4pm-10pm,4pm-10pm,2:30pm-12am,12pm-12am,12pm-9pm,,Brewery,http://www.bentbrewstillery.com/,-93.17386372099998,45.02434519700005
103,Excelsior Brewing Co.,HPN,Excelsior,421 3rd St,,4pm-9pm,4pm-10pm,4pm-10pm,12pm-11pm,12pm-11pm,12pm-6pm,,Brewery,http://excelsiorbrew.com/,-93.56683215199996,44.90209618900006
104,Back Channel Brewing Collective,,SPRING PARK,4787 SHORELINE DR,,,,4pm - 10pm,12pm - 10pm,12pm - 10pm,11pm - 6pm,,Brewery,https://www.backchannelbrewing.com,-93.64392886799999,44.936365238000064
105,LTD Brewing Co.,HPN,Hopkins,725 Main St,4pm-10pm,4pm-10pm,4pm-10pm,3pm-10pm,2pm-12am,12pm-12am,12pm-10pm,,Brewery,http://www.ltdbrewing.com/,-93.40994862799994,44.92456567100004
106,Lift Bridge Brewery,WAS,Stillwater,1900 Tower Dr,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,12pm-10pm,12pm-10pm,12pm-6pm,,Brewery,http://www.liftbridgebrewery.com/,-92.83176774599997,45.039044942000025
107,Big Wood Brewery,RAM,White Bear Lake,2222 4th St,,4pm-10pm,4pm-10pm,4pm-10pm,3pm-11pm,1pm-11pm,12pm-6pm,,Brewery,http://www.bigwoodbrewery.com/,-93.00808875999998,45.085112179000085
108,Hammerheart Brewing Co.,ANO,Lino Lakes,7785 Lake Dr,,2pm-10pm,2pm-10pm,2pm-10pm,2pm-10pm,2pm-10pm,12pm-8pm,,Brewery,http://www.hammerheartbrewing.com/,-93.10693847499994,45.188991326000064
109,Bemidji Brewing Co.,BEL,Bemidji,401 Beltrami Ave NW,,,4pm-10pm,4pm-10pm,2pm-11pm,2pm-11pm,,moving to new location in Summer,Brewery,http://bemidjibeer.com/,-94.88464033099996,47.469861810000054
110,Portage Brewing Co.,CAS,Walker,107 S 5th St,,,,,4pm-9pm,2pm-9pm,,these hours until Grand Opening,Brewery,https://portagebeer.com,-94.58167771199999,47.101200308000045
111,Jack Pine Brewery,CRO,Baxter,7942 College Rd,,,4pm-9pm,4pm-9pm,2pm-10pm,2pm-10pm,1pm-5pm,broke bround on new location (10-7-16),Brewery,http://jackpinebrewery.com/,-94.25321269499995,46.37756062100005
112,Roundhouse Brewery,CRO,Brainerd,1551 Northern Pacific Rd,,,,4pm-8pm,3pm-10pm,3pm-10pm,,,Brewery,http://www.roundhousebrew.com/,-94.18558125399994,46.35625382100005
113,Moose Lake Brewing Co.,CAR,Moose Lake,244 Lakeshore Drive,12pm-9pm,12pm-9pm,12pm-9pm,12pm-9pm,12pm-10pm,12pm-10pm,,2016 - 56 barrels produced,Brewery,http://www.mooselakebrewing.com/,-92.76766733599999,46.447462378000075
114,Junkyard Brewing Co.,CLA,Moorhead,1416 1st Ave N,,4pm-9pm,4pm-9pm,4pm-9pm,4pm-12am,12pm-12am,,,Brewery,http://www.junkyardbeer.com/,-96.75651601099997,46.876252499000024
115,Gull Dam Brewery,CRO,Nisswa,23836 Smiley Road,,12pm-10pm,12pm-10pm,12pm-10pm,12pm-10pm,12pm-10pm,12pm-5pm,,Brewery,http://gulldambrewing.com/,-94.29719972699996,46.497597635000034
116,Big Axe Brewing Company,CRO,Nisswa,25435 Main St,12pm-9pm,12pm-9pm,12pm-9pm,12pm-9pm,12pm-11pm,12pm-10pm,12pm-6pm,,Brewery,http://www.bigwoodbrewery.com/,-94.28913238699994,46.519900749000044
117,Disgruntled Brewing Co.,OTT,Perham,735 2nd St NE,,,,3pm-10pm,3pm-10pm,3pm-10pm,11am-4pm,,Brewery,https://www.disgruntledbeer.com/,-95.55905253299994,46.59050326500005
118,Bent Paddle Brewing Co.,STL,Duluth,1912 W Michigan St,,,2pm-10pm,2pm-10pm,2pm-11pm,12pm-11pm,12pm-5pm,"2016 - 15,700 barrels produced",Brewery,http://www.bentpaddlebrewing.com/,-92.12190048599997,46.76776149200003
119,Lake Superior Brewing,STL,Duluth,2711 W Superior St,,,,,4pm-9pm,3pm-9pm,,"2016 - 1,600 barrels produced",Brewery,http://www.lakesuperiorbrewing.com/,-92.13288099499994,46.76127054300008
120,Castle Danger Brewery,LAK,Two Harbors,17 7th St,,,12pm-9pm,12pm-9pm,12pm-10pm,12pm-10pm,12pm-5pm,"2016 - 9,200 barrels produced",Brewery,http://www.castledangerbrewery.com/,-91.67319815099995,47.01946177900003
121,Lupulin Brewing Co.,SHE,Big Lake,570 Humboldt Dr,,,4pm-10pm,4pm-10pm,4pm-11pm,12pm-11pm,11am-6pm,,Brewery,http://www.lupulinbrewing.com/,-93.73958233999996,45.331609122000025
122,Hayes' Public House Brew,WRI,Buffalo,112 1st St S,,,5pm-10pm,5pm-10pm,3pm-10pm,3pm-10pm,2pm-7pm,,Brewery,http://hayespublichouse.com,-93.87458548899997,45.17059378300007
123,Voyageur Brewing Co.,COO,Grand Marais,233 West Highway 61,,,,4pm-11pm,4pm-11pm,12pm-11pm,,"2016 - 1,300 barrels produced",Brewery,http://www.voyageurbrewing.com/,-90.33643675999998,47.75015547700008
124,Third Street Brewhouse,STE,Cold Spring,219 Red River Ave N,,,,,4pm-8pm,12pm-5pm,,"2014 - 84,000 barrels produced (3rd in MN)",Brewery,http://www.thirdstreetbrewhouse.com/,-94.42937717799998,45.458925162000064
125,Lupine Brewing Company,WRI,Delano,248 N. River St,,,4pm-10pm,4pm-10pm,4pm-11pm,2pm-11pm,2pm-6pm,,Brewery,http://lupinebrewing.com/,-93.78915755599996,45.04276319700005
126,Beaver Island Brewing Co.,STE,Saint Cloud,216 6th Ave S,,,4pm-10pm,4pm-10pm,4pm-10pm,12pm-10pm,11am-7pm,,Brewery,http://www.beaverislandbrew.com/,-94.15697490299999,45.55841379600003
127,Bad Habit Brewing Co.,STE,Saint Joseph,15 E Minnesota St,,,4pm-10pm,4pm-10pm,3pm-11pm,1pm-11pm,1pm-7pm,,Brewery,http://www.badhabitbeer.com/,-94.31729345399997,45.56497991600002
128,Foxhole Brewhouse,KAN,Willmar,313 4th St SW,,,4pm-9pm,4pm-9pm,3pm-10pm,2pm-10pm,1pm-4pm,,Brewery,http://www.foxholebrewhouse.com,-95.04814852099997,45.12120226300004
129,Brau Brothers Brewing Co.,LYO,Marshall,910 E Main St,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-9pm,,Brewery,http://www.braubeer.com/,-95.77630251799997,44.43634479100006
